EstadoCivil;Sexo;Estrato;TipoVivienda;LugarNacimiento; FechaNacimiento ;Edad;Nacionalidad; Ingresos ;OtrosIngresos; Gastos ;Activos;OtrosPasivos;FechaSolicitud; CapitalSolicitado ;Plazo;Score;Aprobado
1;1;2;3;15238;10/12/89;32;Colombiano;3225000;0;61000;0;0;22/10/19;71148295,93;60;;1
1;1;2;3;15238;10/12/89;32;Colombiano;3225000;0;61000;0;0;22/10/19;56300000;60;;1
1;1;3;3;11001;25/07/87;35;COLOMBIANO;5700000;0;2953000;157000000;0;21/03/14;70000000;48;906;1
1;1;3;3;11001;25/07/87;35;COLOMBIANO;5700000;0;2953000;157000000;0;13/07/15;57069485;36;906;1
2;1;3;1;66687;15/06/62;60;Colombiano;6370000;0;3223000;1946994115;0;14/11/19;70000000;60;0;1
2;1;3;1;66687;15/06/62;60;Colombiano;6370000;0;3223000;1946994115;0;14/11/19;80172987,52;60;0;1
5;2;2;1;41001;17/10/94;28;COLOMBIANO;4600000;0;1850000;0;0;8/10/15;70000000;60;;1
1;1;3;3;11001;11/04/89;33;Colombiano;5825000;0;3562244;330000000;0;13/06/18;59000000;60;130;1
1;1;3;3;11001;11/04/89;33;Colombiano;5825000;0;3562244;330000000;0;17/06/18;68791041,85;60;130;1
1;2;2;3;11001;29/01/90;32;Colombiano;4563698;0;2737000;0;0;13/11/18;52000000;60;;1
1;2;2;3;11001;29/01/90;32;Colombiano;4563698;0;2737000;0;0;18/11/18;62403677,73;60;;1
1;1;5;1;11001;24/08/92;30;COLOMBIANO;5750000;0;2000000;180000000;0;11/02/16;87490000;48;;1
1;1;5;1;11001;24/08/92;30;COLOMBIANO;5750000;0;2000000;180000000;0;27/03/19;34044446,26;34;;1
1;1;5;1;11001;24/08/92;30;COLOMBIANO;5750000;0;2000000;180000000;0;27/12/18;1357732;12;;1
1;1;5;1;11001;24/08/92;30;COLOMBIANO;5750000;0;2000000;180000000;0;1/12/18;32194134;36;;1
1;1;5;1;11001;24/08/92;30;COLOMBIANO;5750000;0;2000000;180000000;0;27/12/19;26524075,55;25;;1
1;2;3;3;11001;12/05/86;36;COLOMBIANO;3450000;NULL;1416000;94000000;NULL;11/04/13;122000000;48;571;1
1;2;1;3;11001;1/08/88;34;COLOMBIANO;5032000;0;2649526;0;0;6/10/16;78000000;60;914;1
